Key,P,类型,问题,修改建议,位置
reports-001,P0,标题批注错误,"标题 ""3、实时进度反馈：批量导入过程中，界面精确显示当前进度（精确到10%）。导入成功或失败均有明确提示，失败时具体说明原因（如格式不支持、文件大小超限、内容",移除标题上的批注，批注应加在正文段落上,3、实时进度反馈：批量导入过程中，界面精确显示当前进度（精确
reports-002,P0,段落缺批注,"段落缺少批注: ""附件1：需求与验收标准""",为该段落添加批注说明,附件1：需求与验收标准
reports-003,P0,段落缺批注,"段落缺少批注: ""（一）多源知识导入与智能化解析需求""",为该段落添加批注说明,（一）多源知识导入与智能化解析需求
reports-004,P0,段落缺批注,"段落缺少批注: ""【应用场景】""",为该段落添加批注说明,【应用场景】
reports-005,P0,段落缺批注,"段落缺少批注: ""企业及个人用户需将本地或系统内分散的文档（包括但不限于Office、PDF、图片、音视频等）快速导入知识库，通过系统自动""",为该段落添加批注说明,企业及个人用户需将本地或系统内分散的文档（包括但不限于Off
reports-006,P0,段落缺批注,"段落缺少批注: ""【利益相关者/执行人员】""",为该段落添加批注说明,【利益相关者/执行人员】
reports-007,P0,段落缺批注,"段落缺少批注: ""个人用户、企业用户（如知识提供人、知识管理员）、系统管理员（负责数据迁移与日志审计）""",为该段落添加批注说明,个人用户、企业用户（如知识提供人、知识管理员）、系统管理员（
reports-008,P0,段落缺批注,"段落缺少批注: ""【条件】""",为该段落添加批注说明,【条件】
reports-009,P0,段落缺批注,"段落缺少批注: ""【输入】""",为该段落添加批注说明,【输入】
reports-010,P0,段落缺批注,"段落缺少批注: ""——目标知识库存放路径（如品类/子品类/项目/文档）。""",为该段落添加批注说明,——目标知识库存放路径（如品类/子品类/项目/文档）。
reports-011,P0,段落缺批注,"段落缺少批注: ""——解析功能开关（是否启用摘要、关键词标签、思维导图生成）。""",为该段落添加批注说明,——解析功能开关（是否启用摘要、关键词标签、思维导图生成）。
reports-012,P0,段落缺批注,"段落缺少批注: ""——用户手动触发重新解析的指令。""",为该段落添加批注说明,——用户手动触发重新解析的指令。
reports-013,P0,段落缺批注,"段落缺少批注: ""【做什么（程度/效果/反馈）】""",为该段落添加批注说明,【做什么（程度/效果/反馈）】
reports-014,P0,段落缺批注,"段落缺少批注: ""【输出】""",为该段落添加批注说明,【输出】
reports-015,P0,段落缺批注,"段落缺少批注: ""结构化知识单元：导入并解析完成后，输出包含摘要、关键词标签、思维导图的结构化内容，关联原始文件，存入指定知识库路径。""",为该段落添加批注说明,结构化知识单元：导入并解析完成后，输出包含摘要、关键词标签、
reports-016,P0,段落缺批注,"段落缺少批注: ""实时进度与状态报告：界面展示精确到1%的进度条，并提供导入成功/失败清单及具体失败原因。""",为该段落添加批注说明,实时进度与状态报告：界面展示精确到1%的进度条，并提供导入成
reports-017,P0,段落缺批注,"段落缺少批注: ""敏感信息预警/隔离记录：对被隔离的敏感文件或内容生成记录，通知相应用户或管理员。""",为该段落添加批注说明,敏感信息预警/隔离记录：对被隔离的敏感文件或内容生成记录，通
reports-018,P0,段落缺批注,"段落缺少批注: ""可导出的操作日志：提供包含文件列表、处理时间、处理结果、异常信息等在内的批量导入日志文件。""",为该段落添加批注说明,可导出的操作日志：提供包含文件列表、处理时间、处理结果、异常
reports-019,P0,段落缺批注,"段落缺少批注: ""【外界反应】""",为该段落添加批注说明,【外界反应】
reports-020,P0,段落缺批注,"段落缺少批注: ""用户无需手动整理和转换格式，知识入库效率显著提升。""",为该段落添加批注说明,用户无需手动整理和转换格式，知识入库效率显著提升。
reports-021,P0,段落缺批注,"段落缺少批注: ""企业知识库内容快速丰富，文档管理员管理负担减轻。""",为该段落添加批注说明,企业知识库内容快速丰富，文档管理员管理负担减轻。
reports-022,P0,段落缺批注,"段落缺少批注: ""当解析准确率与敏感识别率达标时，用户对自动化工具的信任度增强。反之，若解析质量不足或误报率高，需优化解析算法及敏感词库。""",为该段落添加批注说明,当解析准确率与敏感识别率达标时，用户对自动化工具的信任度增强
reports-023,P0,段落缺批注,"段落缺少批注: ""（二）AI精准检索与问答需求""",为该段落添加批注说明,（二）AI精准检索与问答需求
reports-024,P0,段落缺批注,"段落缺少批注: ""【应用场景】个人用户需快速查找个人知识库中的知识，或结合全网信息获取精准答案；企业用户需查找企业内部知识，且只能查看自身""",为该段落添加批注说明,【应用场景】个人用户需快速查找个人知识库中的知识，或结合全网
reports-025,P0,段落缺批注,"段落缺少批注: ""【利益相关者/执行人员】个人用户、小团队成员、企业员工、企业管理员。""",为该段落添加批注说明,【利益相关者/执行人员】个人用户、小团队成员、企业员工、企业
reports-026,P0,段落缺批注,"段落缺少批注: ""【条件】用户已登录系统，拥有对应知识检索/问答权限，知识库已存在可检索的知识内容，网络连接正常（全网检索需联网，私有检索""",为该段落添加批注说明,【条件】用户已登录系统，拥有对应知识检索/问答权限，知识库已
reports-027,P0,段落缺批注,"段落缺少批注: ""【输入】检索关键词、指定知识库（所停留界面、或所选择文档夹、或所打开文档下、跨文件夹或文件）、问答问题（输入文字/划词触""",为该段落添加批注说明,【输入】检索关键词、指定知识库（所停留界面、或所选择文档夹、
reports-028,P0,段落缺批注,"段落缺少批注: ""【做什么，程度/效果/反馈】用户可通过关键词、指定知识库、划词等方式发起检索/问答，系统根据用户权限筛选结果，检索响应时""",为该段落添加批注说明,【做什么，程度/效果/反馈】用户可通过关键词、指定知识库、划
reports-029,P0,段落缺批注,"段落缺少批注: ""【输出】检索结果列表（按相关性排序）、问答答案（含溯源链接）、追问入口、无结果推荐内容、权限不足提示（无查看权限时）、问""",为该段落添加批注说明,【输出】检索结果列表（按相关性排序）、问答答案（含溯源链接）
reports-030,P0,段落缺批注,"段落缺少批注: ""【外界反应】用户可快速定位所需知识，无需手动翻阅大量文档，问答结果精准可追溯，权限隔离可保障企业知识安全，无结果时可通过""",为该段落添加批注说明,【外界反应】用户可快速定位所需知识，无需手动翻阅大量文档，问
reports-031,P0,段落缺批注,"段落缺少批注: ""（三）精细化权限与安全管控需求""",为该段落添加批注说明,（三）精细化权限与安全管控需求
reports-032,P0,段落缺批注,"段落缺少批注: ""【应用场景】企业管理员需基于组织架构设置不同部门、成员的知识访问、编辑、管理权限，保障企业核心知识安全；个人用户需保障个""",为该段落添加批注说明,【应用场景】企业管理员需基于组织架构设置不同部门、成员的知识
reports-033,P0,段落缺批注,"段落缺少批注: ""【利益相关者/执行人员】企业管理员、个人用户、企业员工。""",为该段落添加批注说明,【利益相关者/执行人员】企业管理员、个人用户、企业员工。
reports-034,P0,段落缺批注,"段落缺少批注: ""【条件】用户已登录系统，企业管理员拥有权限管控权限，个人用户拥有个人知识库管理权限""",为该段落添加批注说明,【条件】用户已登录系统，企业管理员拥有权限管控权限，个人用户
reports-035,P0,段落缺批注,"段落缺少批注: ""【输入】权限配置指令（选择用户/部门、设置权限等级）、敏感信息识别指令、操作日志查询指令、权限修改/撤销指令、隐私设置指""",为该段落添加批注说明,【输入】权限配置指令（选择用户/部门、设置权限等级）、敏感信
reports-036,P0,段落缺批注,"段落缺少批注: ""【做什么，程度/效果/反馈】企业管理员可进行精细化权限配置，敏感信息自动识别并隔离，操作日志可实时查询、导出，权限修改/""",为该段落添加批注说明,【做什么，程度/效果/反馈】企业管理员可进行精细化权限配置，
reports-037,P0,段落缺批注,"段落缺少批注: ""【输出】权限配置回执、敏感信息隔离列表、操作日志（含操作人、时间、内容）、权限修改/撤销通知、个人隐私设置状态、权限不足""",为该段落添加批注说明,【输出】权限配置回执、敏感信息隔离列表、操作日志（含操作人、
reports-038,P0,段落缺批注,"段落缺少批注: ""【外界反应】企业管理员可高效管控知识权限，防止核心知识泄露，操作日志可追溯，符合合规要求；个人用户可放心管理个人知识，无""",为该段落添加批注说明,【外界反应】企业管理员可高效管控知识权限，防止核心知识泄露，
reports-039,P0,段落缺批注,"段落缺少批注: ""多源知识导入与智能化解析需求""",为该段落添加批注说明,多源知识导入与智能化解析需求
reports-040,P0,段落缺批注,"段落缺少批注: ""- 性能：支持单个文件最大1G，单次批量导入文件数量≤1000个，单个长文档解析耗时≤30秒/100页，多文件同时解析不""",为该段落添加批注说明,- 性能：支持单个文件最大1G，单次批量导入文件数量≤100
reports-041,P0,段落缺批注,"段落缺少批注: ""- 可靠性：导入过程中网络中断，重新连接后可继续导入，不重复导入已完成文件；解析过程中无文件损坏、内容丢失，解析结果与原""",为该段落添加批注说明,- 可靠性：导入过程中网络中断，重新连接后可继续导入，不重复
reports-042,P0,段落缺批注,"段落缺少批注: ""- 可服务性：支持导入/解析失败排查指引，提供常见问题解决方案（如格式转换工具推荐），支持批量导入日志导出，便于核对导入""",为该段落添加批注说明,- 可服务性：支持导入/解析失败排查指引，提供常见问题解决方
reports-043,P0,段落缺批注,"段落缺少批注: ""- 文件数据迁移无遗漏，覆盖率100%。""",为该段落添加批注说明,- 文件数据迁移无遗漏，覆盖率100%。
reports-044,P0,段落缺批注,"段落缺少批注: ""AI精准检索与问答需求""",为该段落添加批注说明,AI精准检索与问答需求
reports-045,P0,段落缺批注,"段落缺少批注: ""- 性能：单用户单次检索响应时间≤1秒，问答响应时间≤3秒，支持多用户同时检索/问答（≥1000人在线，≥50人并发问答""",为该段落添加批注说明,- 性能：单用户单次检索响应时间≤1秒，问答响应时间≤3秒，
reports-046,P0,段落缺批注,"段落缺少批注: ""- 可靠性：检索/问答过程中系统不崩溃，权限筛选无遗漏（未授权内容不展示），溯源链接准确可跳转，多轮追问可连续响应，无答""",为该段落添加批注说明,- 可靠性：检索/问答过程中系统不崩溃，权限筛选无遗漏（未授
reports-047,P0,段落缺批注,"段落缺少批注: ""- 可服务性：支持检索/问答结果反馈（如结果不精准可提交反馈），提供检索技巧指南，权限不足时提示申请授权入口，系统异常时""",为该段落添加批注说明,- 可服务性：支持检索/问答结果反馈（如结果不精准可提交反馈
reports-048,P0,段落缺批注,"段落缺少批注: ""精细化权限与安全管控需求""",为该段落添加批注说明,精细化权限与安全管控需求
reports-049,P0,段落缺批注,"段落缺少批注: ""- 性能：权限配置/修改/撤销响应时间≤1秒，敏感信息识别响应时间≤3秒，操作日志查询/导出响应时间≤3秒，支持同时配置""",为该段落添加批注说明,- 性能：权限配置/修改/撤销响应时间≤1秒，敏感信息识别响
reports-050,P0,段落缺批注,"段落缺少批注: ""- 可靠性：权限管控无遗漏、无错误（未授权用户无法访问），敏感信息识别准确，无误判、漏判，操作日志完整可追溯（保存时间≥""",为该段落添加批注说明,- 可靠性：权限管控无遗漏、无错误（未授权用户无法访问），敏
reports-051,P0,段落缺批注,"段落缺少批注: ""- 可服务性：支持权限配置错误排查，提供权限等级说明文档，敏感信息误判时可手动解除隔离，操作日志导出支持多种格式，支持在""",为该段落添加批注说明,- 可服务性：支持权限配置错误排查，提供权限等级说明文档，敏
reports-052,P0,段落缺批注,"段落缺少批注: ""- 经用户授权后，不导入个人终端设备上的文档即可自动索引和检索个人知识。""",为该段落添加批注说明,- 经用户授权后，不导入个人终端设备上的文档即可自动索引和检
reports-053,P0,段落缺批注,"段落缺少批注: ""【应用场景】：适用于私有化部署大模型的办公场景，用户需基于指定模板和参考知识，快速生成符合格式规范的docx文档，涵盖日""",为该段落添加批注说明,【应用场景】：适用于私有化部署大模型的办公场景，用户需基于指
reports-054,P0,段落缺批注,"段落缺少批注: ""【利益相关者/执行人员】：使用私有化大模型办公的职场人员（如行政、文案、运营、技术文档撰写者等），需依托模板和参考资料高""",为该段落添加批注说明,【利益相关者/执行人员】：使用私有化大模型办公的职场人员（如
